,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
강원,부상자수,2363,2379,2369,2277,2578,2412,2293,2298,1925,1632,1775,1266,1334,1163,793
강원,사고건수,1297,1301,1268,1256,1401,1310,1265,1234,1066,909,959,708,777,679,492
강원,사망자수,61,43,52,48,39,40,36,49,47,22,38,18,18,14,18
경기,부상자수,12214,13622,12970,11938,11474,13102,13094,13159,12012,10436,10850,8834,8681,8723,6957
경기,사고건수,6369,7267,6939,6393,6236,7163,7120,7180,6543,5765,6032,4961,5020,5090,4140
경기,사망자수,196,207,240,194,172,166,175,161,125,135,115,89,115,62,71
경남,부상자수,2811,3504,3197,2877,3096,2681,2492,2589,2514,2381,2327,1631,1518,1519,1354
경남,사고건수,1668,2002,1853,1696,1839,1590,1486,1592,1569,1431,1397,981,926,958,870
경남,사망자수,85,77,73,100,82,68,57,106,81,59,43,34,29,43,25
경북,부상자수,3988,4244,3881,3909,3863,3579,3658,3458,2922,2797,2591,2060,1922,1898,1640
경북,사고건수,2262,2520,2381,2283,2297,2090,2157,2051,1710,1664,1596,1268,1207,1190,1060
경북,사망자수,110,115,119,113,116,83,77,83,67,48,58,47,30,36,23
광주,부상자수,1342,1720,1638,1604,2192,2195,2068,2316,2079,1796,1673,1505,1240,1301,1007
광주,사고건수,701,902,849,848,1172,1167,1104,1207,1058,913,874,764,688,675,549
광주,사망자수,5,20,19,21,21,15,13,16,20,10,14,9,10,4,5
대구,부상자수,2638,3236,2840,2531,2555,2616,2507,2432,2265,2177,1983,1613,1528,1473,1209
대구,사고건수,1531,1739,1582,1409,1470,1510,1417,1395,1281,1219,1134,938,890,890,702
대구,사망자수,40,37,37,34,29,35,19,33,15,26,23,24,18,18,13
대전,부상자수,1282,1361,1376,1413,1802,1485,1663,1768,1680,1369,1362,1226,966,1092,844
대전,사고건수,669,749,725,736,914,792,849,930,931,751,736,665,556,594,472
대전,사망자수,13,14,19,7,10,17,16,10,14,14,11,13,11,10,3
부산,부상자수,2659,3119,2321,1963,2205,2060,2042,2172,2045,1809,1739,1323,1163,1237,1009
부산,사고건수,1525,1737,1298,1141,1271,1169,1155,1226,1166,996,1024,789,709,743,636
부산,사망자수,40,39,47,30,44,26,27,32,25,22,19,10,20,10,10
서울,부상자수,6306,6937,6843,6137,6433,7159,6817,7033,6535,6039,6205,5022,5089,5005,3690
서울,사고건수,3510,3914,3853,3481,3529,3910,3700,3819,3550,3361,3453,2874,2864,2856,2190
서울,사망자수,51,46,55,59,51,62,49,41,39,30,41,41,33,27,13
세종,부상자수,0,0,0,0,0,0,0,70,134,138,176,155,134,158,155
세종,사고건수,0,0,0,0,0,0,0,50,78,81,98,93,89,98,89
세종,사망자수,0,0,0,0,0,0,0,2,6,7,4,5,1,0,1
울산,부상자수,915,1341,1263,1333,1462,1241,1398,1556,1444,1489,1356,1020,857,913,594
울산,사고건수,568,774,726,765,796,744,839,900,871,874,807,603,523,567,373
울산,사망자수,19,17,16,17,17,14,22,21,29,21,21,14,8,14,4
인천,부상자수,2782,2672,2555,2601,2538,2703,2923,2811,2522,2289,2227,1956,1783,1630,1273
인천,사고건수,1471,1436,1330,1360,1352,1439,1562,1499,1331,1180,1185,1049,1000,938,770
인천,사망자수,36,18,27,28,31,21,15,38,19,11,6,13,8,4,9
전남,부상자수,2476,2694,2548,2634,2829,2490,2330,2430,2319,1956,2013,1499,1485,1472,1304
전남,사고건수,1375,1548,1475,1469,1585,1462,1354,1344,1325,1156,1176,904,905,908,793
전남,사망자수,66,88,111,89,79,61,60,51,57,54,51,25,37,25,27
전북,부상자수,1956,2180,2222,1999,2366,2112,1959,2130,1854,1630,1621,1313,1360,1182,964
전북,사고건수,1045,1187,1152,1086,1283,1177,1083,1193,1003,882,920,753,772,683,579
전북,사망자수,41,55,58,82,70,62,51,47,57,28,39,38,25,17,20
제주,부상자수,488,671,638,508,574,556,535,749,671,680,766,589,496,551,489
제주,사고건수,293,365,354,313,347,349,350,458,416,415,466,365,319,322,296
제주,사망자수,17,21,17,11,14,15,14,16,14,11,8,5,7,2,4
충남,부상자수,2545,2889,3021,3005,3019,3226,3154,3166,2613,2319,2393,1946,2220,2132,1587
충남,사고건수,1397,1562,1630,1646,1688,1783,1760,1782,1529,1411,1461,1203,1369,1308,1019
충남,사망자수,94,85,78,103,103,74,83,86,83,75,72,76,56,40,33
충북,부상자수,1388,1686,1688,1768,1811,1747,2202,2208,2177,1835,1823,1465,1588,1503,1092
충북,사고건수,779,987,1001,991,1027,986,1260,1233,1162,1035,1081,851,903,882,678
충북,사망자수,36,38,23,33,20,22,19,23,29,19,20,20,13,20,16
합계,부상자수,48153,54255,51370,48497,50797,51364,51135,52345,47711,42772,42880,34423,33364,32952,25961
합계,사고건수,26460,29990,28416,26873,28207,28641,28461,29093,26589,24043,24399,19769,19517,19381,15708
합계,사망자수,910,920,991,969,898,781,733,815,727,592,583,481,439,346,295
