,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
강원,77332,78982,79328,81765,81008,82803,87813,90678,92554,91343,95219,99143,104485
경기,324397,340548,341231,349746,356053,376194,389016,409565,428925,440420,453998,471850,503155
경남,113555,116420,119213,121133,120946,126736,130319,136543,140785,141017,145843,147783,153097
경북,93968,95494,95671,95951,96364,98301,100954,105060,108617,109196,111419,112867,119131
광주,44706,46535,46103,46409,46535,47975,51432,53041,54157,55804,58203,59712,61476
대구,79543,82341,80002,81366,78210,82197,85301,88255,90692,90834,96657,97198,101342
대전,46653,47766,47932,48670,48606,51986,53537,56941,58490,60509,62009,63318,65647
부산,132724,131182,132693,132433,131036,136307,140763,145181,148084,148848,155207,157538,162889
서울,381829,390723,391062,401890,403256,416136,429913,442901,462331,479137,470397,474515,495092
세종,0,0,0,0,0,0,3589,4289,5749,7534,8356,9354,10997
울산,36402,38756,38913,39797,39937,41933,43268,45519,48157,48194,50511,50623,52625
인천,75527,77833,77411,79446,80976,84077,88422,91929,97319,99909,102169,104921,111297
전남,59969,60578,60754,61351,60826,63924,66597,68664,71789,72594,74441,77758,81035
전북,54117,55888,55895,58189,58297,60874,63737,65783,68185,69658,70556,72408,75417
제주,31422,31383,31364,33509,32979,34632,37216,40316,43749,47839,50667,53491,58359
충남,68461,71293,71480,70796,72241,75315,77734,80610,83912,87619,90185,93601,97680
충북,51105,52307,52938,52750,53647,55588,59470,61398,63671,64798,66986,68799,72992
합계,1671710,1718029,1721990,1755201,1760917,1834978,1909081,1986673,2067166,2115253,2162823,2214879,2326716
